case_id,prefix,second_byte,instruction_bytes,manual_mnemonic,modrm_constraints,initial_registers,initial_flags,initial_memory,current_dispatch_path,current_handler_or_result,expected_ip_advance,expected_registers,expected_flags,memory_and_io_effects,interrupt_or_exception,architectural_prefix_status,evidence_source,confidence,ssts_metadata_form,ssts_empty_prefetch_records,ssts_populated_prefetch_records,hardware_probe_cases
none-0f-13,none,0x13,0f13,"CLR1 r/m16,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F13,5000,5000,
none-0f-14,none,0x14,0f14,"SET1 r/m8,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_set1_ea8_cl,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F14,5000,5000,
none-0f-15,none,0x15,0f15,"SET1 r/m16,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F15,5000,5000,
none-0f-16,none,0x16,0f16,"NOT1 r/m8,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F16,5000,5000,
none-0f-17,none,0x17,0f17,"NOT1 r/m16,CL",ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F17,5000,5000,
none-0f-18,none,0x18,0f18,"TEST1 r/m8,imm3",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_test1_ea8_i3,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F18,5000,5000,
none-0f-19,none,0x19,0f19,"TEST1 r/m16,imm4",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_test1_ea16_i4,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F19,5000,5000,
none-0f-1a,none,0x1a,0f1a,"CLR1 r/m8,imm3",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_clr1_ea8_i3,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1A,5000,5000,
none-0f-1b,none,0x1b,0f1b,"CLR1 r/m16,imm4",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_clr1_ea16_i4,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1B,5000,5000,
none-0f-1c,none,0x1c,0f1c,"SET1 r/m8,imm3",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_set1_ea8_i3,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1C,5000,5000,
none-0f-1d,none,0x1d,0f1d,"SET1 r/m16,imm4",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_set1_ea16_i4,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1D,5000,5000,
none-0f-1e,none,0x1e,0f1e,"NOT1 r/m8,imm3",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1E,5000,5000,
none-0f-1f,none,0x1f,0f1f,"NOT1 r/m16,imm4",ModR/M register or memory form; immediate byte follows ModR/M,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F1F,5000,5000,
none-0f-20,none,0x20,0f20,ADD4S,no ModR/M; implicit IX/IY and CL block operands,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_add4s,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F20,1000,1000,
none-0f-21,none,0x21,0f21,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-22,none,0x22,0f22,SUB4S,no ModR/M; implicit IX/IY and CL block operands,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_sub4s,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F22,1000,1000,
none-0f-23,none,0x23,0f23,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-24,none,0x24,0f24,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-25,none,0x25,0f25,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-26,none,0x26,0f26,CMP4S,no ModR/M; implicit IX/IY and CL block operands,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F26,1000,1000,
none-0f-27,none,0x27,0f27,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-28,none,0x28,0f28,ROL4 r/m8,ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F28,5000,5000,
none-0f-29,none,0x29,0f29,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-2a,none,0x2a,0f2a,ROR4 r/m8,ModR/M register or memory form,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_ror4_ea8,handler- and operand-dependent,defined by the selected V30 Group3 handler and operands,defined by the selected V30 Group3 handler,handler- and operand-dependent; no direct I/O handler,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,0F2A,5000,5000,
none-0f-2b,none,0x2b,0f2b,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-2c,none,0x2c,0f2c,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-2d,none,0x2d,0f2d,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-2e,none,0x2e,0f2e,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-2f,none,0x2f,0f2f,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
none-0f-30,none,0x30,0f30,undefined Group3 code,none consumed by current reserved handler,case-specific; probe defaults AX=0011 CX=0001,case-specific; probe default FLAGS=0002 before TF,case-specific; probe guard initialized to 5aa5,v30op[0x0f] -> v30_ope0x0f -> v30ope0x0f_table,v30_reserved_0x0f,2,unchanged,unchanged,none,none in current reserved path; handler-dependent otherwise,not applicable,M42 graph/support map; i286c/v30patch.c; NEC U11301EJ5V0UMJ1 Appendix C,high for current VAEG path; unresolved for uPD9002/V52,,0,0,
